country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-04-2025 15:00,28.570173,76.933762,PM10,123,319,192
India,Delhi,Delhi,"Pusa, Delhi - IMD",08-04-2025 15:00,28.63611,77.173332,NO2,44,170,94
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",08-04-2025 15:00,28.563262,77.186937,NH3,5,7,6
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",08-04-2025 15:00,28.563262,77.186937,OZONE,7,78,47
India,Delhi,Delhi,"Rohini, Delhi - DPCC",08-04-2025 15:00,28.732528,77.11992,CO,32,84,43
India,Delhi,Delhi,"Rohini, Delhi - DPCC",08-04-2025 15:00,28.732528,77.11992,OZONE,5,301,248
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",08-04-2025 15:00,28.623763,77.287209,NH3,16,33,24
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",08-04-2025 15:00,28.674045,77.131023,PM10,105,371,197
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",08-04-2025 15:00,28.6514781,77.1473105,NH3,5,10,7
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",08-04-2025 15:00,28.5504249,77.2159377,SO2,72,79,75
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",08-04-2025 15:00,28.672342,77.31526,NH3,1,4,3
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",08-04-2025 15:00,28.672342,77.31526,SO2,10,70,20
India,Delhi,Delhi,"Pusa, Delhi - DPCC",08-04-2025 15:00,28.639652,77.146275,NO2,36,152,93
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",08-04-2025 15:00,28.699793,77.165453,CO,27,108,70
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-04-2025 15:00,23.107969,72.574648,PM10,58,154,97
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-04-2025 15:00,23.107969,72.574648,NO2,48,167,86
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-04-2025 15:00,23.107969,72.574648,CO,15,115,36
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-04-2025 15:00,23.107969,72.574648,OZONE,3,138,60
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",08-04-2025 15:00,22.977134,72.553024,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",08-04-2025 15:00,23.002657,72.591912,PM2.5,12,198,60
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",08-04-2025 15:00,23.002657,72.591912,PM10,67,413,153
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",08-04-2025 15:00,23.020509,72.579261,PM10,46,107,65
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",08-04-2025 15:00,23.020509,72.579261,SO2,9,22,16
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",08-04-2025 15:00,23.020509,72.579261,CO,1,161,11
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",08-04-2025 15:00,23.020509,72.579261,OZONE,4,79,30
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",08-04-2025 15:00,21.613267,73.010555,NH3,8,10,8
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",08-04-2025 15:00,23.163798,72.677768,PM2.5,42,317,103
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",08-04-2025 15:00,23.243639,72.68994,PM2.5,46,213,115
